Geo,Year,HighCarSvcCost.2018,LowCarSvcCost.2018,AveCarSvcVehicleAge,AutoCarSvcSubProp,LtTrkCarSvcSubProp
19,2050,2,4,5,0.95,0.75
20,2050,2,4,5,0.95,0.75
Baker,2015,2,4,9,0.95,0.75
Benton,2015,2,4,9,0.95,0.75
Clackamas,2015,2,4,7,0.95,0.75
Clatsop,2015,2,4,9,0.95,0.75
Columbia,2015,2,4,9,0.95,0.75
Coos,2015,2,4,9,0.95,0.75
Crook,2015,2,4,9,0.95,0.75
Curry,2015,2,4,9,0.95,0.75
Deschutes,2015,2,4,9,0.95,0.75
Douglas,2015,2,4,9,0.95,0.75
Gilliam,2015,2,4,9,0.95,0.75
Grant,2015,2,4,9,0.95,0.75
Harney,2015,2,4,9,0.95,0.75
Hood River,2015,2,4,9,0.95,0.75
Jackson,2015,2,4,9,0.95,0.75
Jefferson,2015,2,4,9,0.95,0.75
Josephine,2015,2,4,9,0.95,0.75
Klamath,2015,2,4,9,0.95,0.75
Lake,2015,2,4,9,0.95,0.75
Lane,2015,2,4,7,0.95,0.75
Lincoln,2015,2,4,9,0.95,0.75
Linn,2015,2,4,9,0.95,0.75
Malheur,2015,2,4,9,0.95,0.75
Marion,2015,2,4,9,0.95,0.75
Morrow,2015,2,4,9,0.95,0.75
Multnomah,2015,2,4,7,0.95,0.75
Polk,2015,2,4,9,0.95,0.75
Sherman,2015,2,4,9,0.95,0.75
Tillamook,2015,2,4,9,0.95,0.75
Umatilla,2015,2,4,9,0.95,0.75
Union,2015,2,4,9,0.95,0.75
Wallowa,2015,2,4,9,0.95,0.75
Wasco,2015,2,4,9,0.95,0.75
Washington,2015,2,4,7,0.95,0.75
Wheeler,2015,2,4,9,0.95,0.75
Yamhill,2015,2,4,9,0.95,0.75
Baker,2020,2,4,9,0.95,0.75
Benton,2020,2,4,9,0.95,0.75
Clackamas,2020,2,4,7,0.95,0.75
Clatsop,2020,2,4,9,0.95,0.75
Columbia,2020,2,4,9,0.95,0.75
Coos,2020,2,4,9,0.95,0.75
Crook,2020,2,4,9,0.95,0.75
Curry,2020,2,4,9,0.95,0.75
Deschutes,2020,2,4,9,0.95,0.75
Douglas,2020,2,4,9,0.95,0.75
Gilliam,2020,2,4,9,0.95,0.75
Grant,2020,2,4,9,0.95,0.75
Harney,2020,2,4,9,0.95,0.75
Hood River,2020,2,4,9,0.95,0.75
Jackson,2020,2,4,9,0.95,0.75
Jefferson,2020,2,4,9,0.95,0.75
Josephine,2020,2,4,9,0.95,0.75
Klamath,2020,2,4,9,0.95,0.75
Lake,2020,2,4,9,0.95,0.75
Lane,2020,2,4,7,0.95,0.75
Lincoln,2020,2,4,9,0.95,0.75
Linn,2020,2,4,9,0.95,0.75
Malheur,2020,2,4,9,0.95,0.75
Marion,2020,2,4,9,0.95,0.75
Morrow,2020,2,4,9,0.95,0.75
Multnomah,2020,2,4,7,0.95,0.75
Polk,2020,2,4,9,0.95,0.75
Sherman,2020,2,4,9,0.95,0.75
Tillamook,2020,2,4,9,0.95,0.75
Umatilla,2020,2,4,9,0.95,0.75
Union,2020,2,4,9,0.95,0.75
Wallowa,2020,2,4,9,0.95,0.75
Wasco,2020,2,4,9,0.95,0.75
Washington,2020,2,4,7,0.95,0.75
Wheeler,2020,2,4,9,0.95,0.75
Yamhill,2020,2,4,9,0.95,0.75
Baker,2025,2,4,9,0.95,0.75
Benton,2025,2,4,9,0.95,0.75
Clackamas,2025,2,4,7,0.95,0.75
Clatsop,2025,2,4,9,0.95,0.75
Columbia,2025,2,4,9,0.95,0.75
Coos,2025,2,4,9,0.95,0.75
Crook,2025,2,4,9,0.95,0.75
Curry,2025,2,4,9,0.95,0.75
Deschutes,2025,2,4,9,0.95,0.75
Douglas,2025,2,4,9,0.95,0.75
Gilliam,2025,2,4,9,0.95,0.75
Grant,2025,2,4,9,0.95,0.75
Harney,2025,2,4,9,0.95,0.75
Hood River,2025,2,4,9,0.95,0.75
Jackson,2025,2,4,9,0.95,0.75
Jefferson,2025,2,4,9,0.95,0.75
Josephine,2025,2,4,9,0.95,0.75
Klamath,2025,2,4,9,0.95,0.75
Lake,2025,2,4,9,0.95,0.75
Lane,2025,2,4,7,0.95,0.75
Lincoln,2025,2,4,9,0.95,0.75
Linn,2025,2,4,9,0.95,0.75
Malheur,2025,2,4,9,0.95,0.75
Marion,2025,2,4,9,0.95,0.75
Morrow,2025,2,4,9,0.95,0.75
Multnomah,2025,2,4,7,0.95,0.75
Polk,2025,2,4,9,0.95,0.75
Sherman,2025,2,4,9,0.95,0.75
Tillamook,2025,2,4,9,0.95,0.75
Umatilla,2025,2,4,9,0.95,0.75
Union,2025,2,4,9,0.95,0.75
Wallowa,2025,2,4,9,0.95,0.75
Wasco,2025,2,4,9,0.95,0.75
Washington,2025,2,4,7,0.95,0.75
Wheeler,2025,2,4,9,0.95,0.75
Yamhill,2025,2,4,9,0.95,0.75
Baker,2030,2,4,7,0.95,0.8
Benton,2030,2,4,7,0.95,0.8
Clackamas,2030,2,4,5,0.95,0.8
Clatsop,2030,2,4,7,0.95,0.8
Columbia,2030,2,4,7,0.95,0.8
Coos,2030,2,4,7,0.95,0.8
Crook,2030,2,4,7,0.95,0.8
Curry,2030,2,4,7,0.95,0.8
Deschutes,2030,2,4,7,0.95,0.8
Douglas,2030,2,4,7,0.95,0.8
Gilliam,2030,2,4,7,0.95,0.8
Grant,2030,2,4,7,0.95,0.8
Harney,2030,2,4,7,0.95,0.8
Hood River,2030,2,4,7,0.95,0.8
Jackson,2030,2,4,7,0.95,0.8
Jefferson,2030,2,4,7,0.95,0.8
Josephine,2030,2,4,7,0.95,0.8
Klamath,2030,2,4,7,0.95,0.8
Lake,2030,2,4,7,0.95,0.8
Lane,2030,2,4,5,0.95,0.8
Lincoln,2030,2,4,7,0.95,0.8
Linn,2030,2,4,7,0.95,0.8
Malheur,2030,2,4,7,0.95,0.8
Marion,2030,2,4,7,0.95,0.8
Morrow,2030,2,4,7,0.95,0.8
Multnomah,2030,2,4,5,0.95,0.8
Polk,2030,2,4,7,0.95,0.8
Sherman,2030,2,4,7,0.95,0.8
Tillamook,2030,2,4,7,0.95,0.8
Umatilla,2030,2,4,7,0.95,0.8
Union,2030,2,4,7,0.95,0.8
Wallowa,2030,2,4,7,0.95,0.8
Wasco,2030,2,4,7,0.95,0.8
Washington,2030,2,4,5,0.95,0.8
Wheeler,2030,2,4,7,0.95,0.8
Yamhill,2030,2,4,7,0.95,0.8
Baker,2035,2,4,7,0.95,0.8
Benton,2035,2,4,7,0.95,0.8
Clackamas,2035,2,4,5,0.95,0.8
Clatsop,2035,2,4,7,0.95,0.8
Columbia,2035,2,4,7,0.95,0.8
Coos,2035,2,4,7,0.95,0.8
Crook,2035,2,4,7,0.95,0.8
Curry,2035,2,4,7,0.95,0.8
Deschutes,2035,2,4,7,0.95,0.8
Douglas,2035,2,4,7,0.95,0.8
Gilliam,2035,2,4,7,0.95,0.8
Grant,2035,2,4,7,0.95,0.8
Harney,2035,2,4,7,0.95,0.8
Hood River,2035,2,4,7,0.95,0.8
Jackson,2035,2,4,7,0.95,0.8
Jefferson,2035,2,4,7,0.95,0.8
Josephine,2035,2,4,7,0.95,0.8
Klamath,2035,2,4,7,0.95,0.8
Lake,2035,2,4,7,0.95,0.8
Lane,2035,2,4,5,0.95,0.8
Lincoln,2035,2,4,7,0.95,0.8
Linn,2035,2,4,7,0.95,0.8
Malheur,2035,2,4,7,0.95,0.8
Marion,2035,2,4,7,0.95,0.8
Morrow,2035,2,4,7,0.95,0.8
Multnomah,2035,2,4,5,0.95,0.8
Polk,2035,2,4,7,0.95,0.8
Sherman,2035,2,4,7,0.95,0.8
Tillamook,2035,2,4,7,0.95,0.8
Umatilla,2035,2,4,7,0.95,0.8
Union,2035,2,4,7,0.95,0.8
Wallowa,2035,2,4,7,0.95,0.8
Wasco,2035,2,4,7,0.95,0.8
Washington,2035,2,4,5,0.95,0.8
Wheeler,2035,2,4,7,0.95,0.8
Yamhill,2035,2,4,7,0.95,0.8
Baker,2040,2,4,7,0.95,0.85
Benton,2040,2,4,7,0.95,0.85
Clackamas,2040,2,4,5,0.95,0.85
Clatsop,2040,2,4,7,0.95,0.85
Columbia,2040,2,4,7,0.95,0.85
Coos,2040,2,4,7,0.95,0.85
Crook,2040,2,4,7,0.95,0.85
Curry,2040,2,4,7,0.95,0.85
Deschutes,2040,2,4,7,0.95,0.85
Douglas,2040,2,4,7,0.95,0.85
Gilliam,2040,2,4,7,0.95,0.85
Grant,2040,2,4,7,0.95,0.85
Harney,2040,2,4,7,0.95,0.85
Hood River,2040,2,4,7,0.95,0.85
Jackson,2040,2,4,7,0.95,0.85
Jefferson,2040,2,4,7,0.95,0.85
Josephine,2040,2,4,7,0.95,0.85
Klamath,2040,2,4,7,0.95,0.85
Lake,2040,2,4,7,0.95,0.85
Lane,2040,2,4,5,0.95,0.85
Lincoln,2040,2,4,7,0.95,0.85
Linn,2040,2,4,7,0.95,0.85
Malheur,2040,2,4,7,0.95,0.85
Marion,2040,2,4,7,0.95,0.85
Morrow,2040,2,4,7,0.95,0.85
Multnomah,2040,2,4,5,0.95,0.85
Polk,2040,2,4,7,0.95,0.85
Sherman,2040,2,4,7,0.95,0.85
Tillamook,2040,2,4,7,0.95,0.85
Umatilla,2040,2,4,7,0.95,0.85
Union,2040,2,4,7,0.95,0.85
Wallowa,2040,2,4,7,0.95,0.85
Wasco,2040,2,4,7,0.95,0.85
Washington,2040,2,4,5,0.95,0.85
Wheeler,2040,2,4,7,0.95,0.85
Yamhill,2040,2,4,7,0.95,0.85
Baker,2045,2,4,5,0.95,0.85
Benton,2045,2,4,5,0.95,0.85
Clackamas,2045,2,4,3,0.95,0.85
Clatsop,2045,2,4,5,0.95,0.85
Columbia,2045,2,4,5,0.95,0.85
Coos,2045,2,4,5,0.95,0.85
Crook,2045,2,4,5,0.95,0.85
Curry,2045,2,4,5,0.95,0.85
Deschutes,2045,2,4,5,0.95,0.85
Douglas,2045,2,4,5,0.95,0.85
Gilliam,2045,2,4,5,0.95,0.85
Grant,2045,2,4,5,0.95,0.85
Harney,2045,2,4,5,0.95,0.85
Hood River,2045,2,4,5,0.95,0.85
Jackson,2045,2,4,5,0.95,0.85
Jefferson,2045,2,4,5,0.95,0.85
Josephine,2045,2,4,5,0.95,0.85
Klamath,2045,2,4,5,0.95,0.85
Lake,2045,2,4,5,0.95,0.85
Lane,2045,2,4,3,0.95,0.85
Lincoln,2045,2,4,5,0.95,0.85
Linn,2045,2,4,5,0.95,0.85
Malheur,2045,2,4,5,0.95,0.85
Marion,2045,2,4,5,0.95,0.85
Morrow,2045,2,4,5,0.95,0.85
Multnomah,2045,2,4,3,0.95,0.85
Polk,2045,2,4,5,0.95,0.85
Sherman,2045,2,4,5,0.95,0.85
Tillamook,2045,2,4,5,0.95,0.85
Umatilla,2045,2,4,5,0.95,0.85
Union,2045,2,4,5,0.95,0.85
Wallowa,2045,2,4,5,0.95,0.85
Wasco,2045,2,4,5,0.95,0.85
Washington,2045,2,4,3,0.95,0.85
Wheeler,2045,2,4,5,0.95,0.85
Yamhill,2045,2,4,5,0.95,0.85
Baker,2050,2,4,5,0.95,0.85
Benton,2050,2,4,5,0.95,0.85
Clackamas,2050,2,4,3,0.95,0.85
Clatsop,2050,2,4,5,0.95,0.85
Columbia,2050,2,4,5,0.95,0.85
Coos,2050,2,4,5,0.95,0.85
Crook,2050,2,4,5,0.95,0.85
Curry,2050,2,4,5,0.95,0.85
Deschutes,2050,2,4,5,0.95,0.85
Douglas,2050,2,4,5,0.95,0.85
Gilliam,2050,2,4,5,0.95,0.85
Grant,2050,2,4,5,0.95,0.85
Harney,2050,2,4,5,0.95,0.85
Hood River,2050,2,4,5,0.95,0.85
Jackson,2050,2,4,5,0.95,0.85
Jefferson,2050,2,4,5,0.95,0.85
Josephine,2050,2,4,5,0.95,0.85
Klamath,2050,2,4,5,0.95,0.85
Lake,2050,2,4,5,0.95,0.85
Lane,2050,2,4,3,0.95,0.85
Lincoln,2050,2,4,5,0.95,0.85
Linn,2050,2,4,5,0.95,0.85
Malheur,2050,2,4,5,0.95,0.85
Marion,2050,2,4,5,0.95,0.85
Morrow,2050,2,4,5,0.95,0.85
Multnomah,2050,2,4,3,0.95,0.85
Polk,2050,2,4,5,0.95,0.85
Sherman,2050,2,4,5,0.95,0.85
Tillamook,2050,2,4,5,0.95,0.85
Umatilla,2050,2,4,5,0.95,0.85
Union,2050,2,4,5,0.95,0.85
Wallowa,2050,2,4,5,0.95,0.85
Wasco,2050,2,4,5,0.95,0.85
Washington,2050,2,4,3,0.95,0.85
Wheeler,2050,2,4,5,0.95,0.85
Yamhill,2050,2,4,5,0.95,0.85
