Geo,Year,PropRuralMixed,PropRuralOnSite,PropRuralRemote,PropTownMixed,PropTownOnSite,PropTownRemote,PropMetroMixed,PropMetroOnSite,PropMetroRemote
2,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
3,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
4,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
5,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
6,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
7,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
8,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
9,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
10,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
11,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
12,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
13,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
14,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
15,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
16,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
17,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
18,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
19,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
20,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
1,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
2,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
3,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
4,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
5,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
6,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
7,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
8,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
9,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
10,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
11,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
12,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
13,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
14,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
15,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
16,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
17,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
18,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
19,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
20,2020,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
1,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
2,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
3,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
4,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
5,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
6,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
7,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
8,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
9,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
10,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
11,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
12,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
13,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
14,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
15,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
16,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
17,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
18,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
19,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
20,2025,0.2622,0.5033,0.2344,0.2485,0.5096,0.2419,0.2452,0.4776,0.2772
1,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
2,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
3,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
4,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
5,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
6,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
7,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
8,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
9,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
10,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
11,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
12,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
13,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
14,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
15,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
16,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
17,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
18,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
19,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
20,2030,0.2896,0.4601,0.2502,0.2751,0.4646,0.2603,0.2452,0.4776,0.2772
1,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
2,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
3,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
4,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
5,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
6,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
7,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
8,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
9,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
10,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
11,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
12,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
13,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
14,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
15,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
16,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
17,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
18,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
19,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
20,2035,0.2548,0.5529,0.1923,0.2551,0.5495,0.1954,0.264173583,0.514548545,0.221277872
1,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
2,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
3,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
4,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
5,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
6,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
7,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
8,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
9,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
10,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
11,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
12,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
13,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
14,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
15,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
16,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
17,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
18,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
19,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
20,2040,0.2195,0.5968,0.1836,0.209179082,0.621837816,0.168983102,0.264173583,0.514548545,0.221277872
1,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
2,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
3,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
4,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
5,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
6,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
7,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
8,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
9,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
10,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
11,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
12,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
13,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
14,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
15,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
16,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
17,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
18,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
19,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
20,2045,0.2475,0.5474,0.2051,0.2429,0.5479,0.2092,0.264173583,0.514548545,0.221277872
1,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
2,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
3,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
4,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
5,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
6,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
7,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
8,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
9,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
10,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
11,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
12,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
13,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
14,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
15,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
16,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
17,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
18,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
19,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
20,2050,0.2772,0.5077,0.2152,0.2465,0.5384,0.2151,0.264173583,0.514548545,0.221277872
