"Geo","Year","D4c"
133,2021,0
134,2021,0
135,2021,6
136,2021,4
137,2021,0
138,2021,0
139,2021,0
140,2021,27
141,2021,40
143,2021,23
144,2021,24
146,2021,64
147,2021,17.416667
148,2021,18.625
149,2021,74.041667
150,2021,63.166667
151,2021,30.166667
152,2021,0
153,2021,4
154,2021,68.208333
155,2021,77.208333
156,2021,46.625
158,2021,64.166667
162,2021,64
164,2021,82
168,2021,68
169,2021,4
170,2021,0
171,2021,0
172,2021,60
173,2021,146
180,2021,100
185,2021,0
186,2021,10
189,2021,50
193,2021,2
194,2021,66
196,2021,70
200,2021,24
204,2021,0
205,2021,0
206,2021,6
207,2021,0
211,2021,24
212,2021,23
213,2021,22
214,2021,18.5
220,2021,38
221,2021,34
222,2021,17
223,2021,13
224,2021,42
225,2021,32
226,2021,30
227,2021,48
229,2021,34
230,2021,44
231,2021,32.666667
232,2021,80.541667
233,2021,23.541667
234,2021,15.541667
235,2021,19.208333
236,2021,14.083333
237,2021,15.541667
238,2021,80.083333
242,2021,49.416667
243,2021,22.875
244,2021,42.875
245,2021,37.875
246,2021,96.791667
249,2021,137.25
254,2021,75.75
256,2021,55.208333
257,2021,16.5
258,2021,22
259,2021,26.333333
260,2021,92.083333
261,2021,98.5
279,2021,24
280,2021,34
281,2021,28
282,2021,30.875
283,2021,12.541667
284,2021,13.166667
285,2021,36
286,2021,49
289,2021,44
290,2021,28
294,2021,32
295,2021,36
296,2021,24
298,2021,36.833333
299,2021,63.5
300,2021,36
301,2021,24.833333
302,2021,8.833333
303,2021,25.666667
304,2021,32.5
309,2021,28
310,2021,74
312,2021,21
313,2021,41
314,2021,48
322,2021,40
323,2021,40
324,2021,54
330,2021,19
332,2021,0
333,2021,0
334,2021,37
335,2021,79
336,2021,60
338,2021,22
345,2021,0
346,2021,0
347,2021,9
350,2021,59
354,2021,37
357,2021,55
358,2021,39
359,2021,15
360,2021,9
361,2021,0
362,2021,3
363,2021,17
365,2021,16
366,2021,20
368,2021,57
373,2021,8
374,2021,47
376,2021,33
378,2021,11
379,2021,15
380,2021,23
381,2021,9
382,2021,6
383,2021,3
384,2021,30
388,2021,0
389,2021,20
390,2021,27
395,2021,50
396,2021,36
411,2021,2
414,2021,0
415,2021,0
416,2021,0
417,2021,0
418,2021,0
419,2021,0
420,2021,0
421,2021,5
422,2021,0
423,2021,0
424,2021,0
426,2021,5
427,2021,0
428,2021,0
429,2021,6
430,2021,9
431,2021,0
432,2021,0
433,2021,0
434,2021,0
435,2021,0
436,2021,34.583333
437,2021,0
439,2021,11.541667
442,2021,24
443,2021,0
444,2021,0
447,2021,3
450,2021,0
451,2021,0
31,2050,0
32,2050,0
33,2050,0
34,2050,0
35,2050,3
36,2050,0
37,2050,0
38,2050,2
39,2050,0
40,2050,11
41,2050,9
42,2050,0
43,2050,32
44,2050,2
45,2050,6
47,2050,12
48,2050,6
49,2050,18
50,2050,24
51,2050,34
52,2050,82
53,2050,23
54,2050,39
55,2050,20
56,2050,10
61,2050,41
64,2050,54
65,2050,64
66,2050,26
67,2050,26
70,2050,16
71,2050,28
74,2050,28
75,2050,38
76,2050,22
77,2050,16
78,2050,42
80,2050,2
81,2050,8
82,2050,82
83,2050,0
84,2050,0
85,2050,0
86,2050,12
87,2050,6
88,2050,32
89,2050,28
90,2050,36
91,2050,44
92,2050,68
94,2050,72
95,2050,80
100,2050,71
103,2050,131
104,2050,103
107,2050,92
110,2050,16
111,2050,8
112,2050,68
114,2050,91
116,2050,50
117,2050,77
118,2050,92
120,2050,82
124,2050,50
125,2050,66
126,2050,26
128,2050,59
129,2050,0
130,2050,0
131,2050,14
132,2050,2
133,2050,0
134,2050,2
135,2050,11
136,2050,9
137,2050,5
138,2050,0
139,2050,0
140,2050,43
141,2050,66
143,2050,34
144,2050,40
146,2050,73
147,2050,35
148,2050,48
149,2050,102
150,2050,99
151,2050,47
152,2050,0
153,2050,12
154,2050,114
155,2050,91
156,2050,57
158,2050,78
162,2050,36
164,2050,53
168,2050,90
169,2050,18
170,2050,0
171,2050,0
172,2050,100
173,2050,163
180,2050,151
185,2050,2
186,2050,30
189,2050,92
193,2050,8
194,2050,90
196,2050,144
200,2050,40
204,2050,12
205,2050,12
206,2050,26
207,2050,0
211,2050,25
212,2050,28
213,2050,54
214,2050,62
220,2050,64
221,2050,46
222,2050,17
223,2050,14
224,2050,56
225,2050,48
226,2050,44
227,2050,54
229,2050,46
230,2050,62
231,2050,46
232,2050,102
233,2050,44
234,2050,32
235,2050,34
236,2050,36
237,2050,36
238,2050,90
242,2050,78
243,2050,54
244,2050,72
245,2050,64
246,2050,136
249,2050,174
254,2050,130
256,2050,114
257,2050,38
258,2050,28
259,2050,52
260,2050,136
261,2050,132
279,2050,30
280,2050,48
281,2050,42
282,2050,72
283,2050,35
284,2050,51
285,2050,62
286,2050,87
289,2050,69
290,2050,52
294,2050,58
295,2050,66
296,2050,38
298,2050,76
299,2050,138
300,2050,76
301,2050,52
302,2050,36
303,2050,56
304,2050,81
309,2050,42
310,2050,112
312,2050,34
313,2050,60
314,2050,80
322,2050,86
323,2050,70
324,2050,92
330,2050,42
332,2050,28
333,2050,28
334,2050,80
335,2050,132
336,2050,102
338,2050,46
345,2050,12
346,2050,12
347,2050,26
350,2050,108
354,2050,163
357,2050,119
358,2050,62
359,2050,30
360,2050,18
361,2050,0
362,2050,4
363,2050,32
365,2050,32
366,2050,40
368,2050,96
373,2050,102
374,2050,128
376,2050,59
378,2050,31
379,2050,29
380,2050,58
381,2050,21
382,2050,20
383,2050,18
384,2050,97
388,2050,37
389,2050,62
390,2050,84
395,2050,136
396,2050,40
411,2050,14
414,2050,0
415,2050,0
416,2050,0
417,2050,0
418,2050,0
419,2050,0
420,2050,0
421,2050,10
422,2050,0
423,2050,0
424,2050,0
426,2050,14
427,2050,0
428,2050,5
429,2050,23
430,2050,24
431,2050,0
432,2050,0
433,2050,0
434,2050,0
435,2050,12
436,2050,70
437,2050,0
439,2050,26
442,2050,40
443,2050,0
444,2050,0
447,2050,6
450,2050,0
451,2050,0
