"Geo","Year","HhPropIncQ1","HhPropIncQ2","HhPropIncQ3","HhPropIncQ4"
94,2021,0.1525,0.1825,0.4025,0.2625
94,2050,0.1525,0.1825,0.4025,0.2625
95,2005,0.2425,0.2225,0.3125,0.2225
95,2021,0.15,0.18,0.41,0.26
95,2050,0.15,0.18,0.41,0.26
100,2005,0.295,0.335,0.245,0.125
100,2021,0.2325,0.1625,0.4725,0.1325
100,2050,0.2325,0.1625,0.4725,0.1325
103,2005,0.215,0.315,0.245,0.225
103,2021,0.2075,0.1675,0.4575,0.1675
103,2050,0.2075,0.1675,0.4575,0.1675
104,2005,0.3225,0.2725,0.2125,0.1925
104,2021,0.18,0.17,0.45,0.2
104,2050,0.18,0.17,0.45,0.2
107,2005,0.2175,0.2675,0.3075,0.2075
107,2021,0.13,0.19,0.47,0.21
107,2050,0.13,0.19,0.47,0.21
110,2005,0.1775,0.2375,0.2875,0.2975
110,2021,0.13,0.19,0.47,0.21
110,2050,0.13,0.19,0.47,0.21
111,2005,0.17,0.29,0.32,0.22
111,2021,0.1575,0.2675,0.4575,0.1175
111,2050,0.1575,0.2675,0.4575,0.1175
112,2005,0.26,0.28,0.32,0.14
112,2021,0.16,0.27,0.46,0.11
112,2050,0.16,0.27,0.46,0.11
114,2005,0.3025,0.2825,0.2725,0.1425
114,2021,0.2525,0.1725,0.4625,0.1125
114,2050,0.2525,0.1725,0.4625,0.1125
116,2005,0.31,0.3,0.25,0.14
116,2021,0.24,0.17,0.47,0.12
116,2050,0.24,0.17,0.47,0.12
117,2005,0.31,0.32,0.28,0.09
117,2021,0.29,0.18,0.44,0.09
117,2050,0.29,0.18,0.44,0.09
118,2005,0.465,0.265,0.225,0.045
118,2021,0.29,0.18,0.44,0.09
118,2050,0.29,0.18,0.44,0.09
120,2005,0.1575,0.2975,0.2775,0.2675
120,2021,0.17,0.26,0.46,0.11
120,2050,0.17,0.26,0.46,0.11
124,2005,0.3875,0.2875,0.1775,0.1475
124,2021,0.3825,0.1925,0.3525,0.0725
124,2050,0.3825,0.1925,0.3525,0.0725
125,2005,0.4925,0.2625,0.1425,0.1025
125,2021,0.39,0.18,0.36,0.07
125,2050,0.39,0.18,0.36,0.07
126,2005,0.6325,0.2425,0.1025,0.0225
126,2021,0.39,0.18,0.36,0.07
126,2050,0.39,0.18,0.36,0.07
128,2005,0.41,0.28,0.25,0.06
128,2021,0.29,0.18,0.44,0.09
128,2050,0.29,0.18,0.44,0.09
129,2005,0.17,0.18,0.31,0.34
129,2021,0.23,0.15,0.41,0.21
129,2050,0.23,0.15,0.41,0.21
130,2005,0.18,0.3,0.27,0.25
130,2021,0.23,0.15,0.41,0.21
130,2050,0.23,0.15,0.41,0.21
131,2005,0.1925,0.1925,0.3025,0.3125
131,2021,0.23,0.15,0.41,0.21
131,2050,0.23,0.15,0.41,0.21
132,2005,0.18,0.3,0.27,0.25
132,2021,0.23,0.15,0.41,0.21
132,2050,0.23,0.15,0.41,0.21
133,2005,0.18,0.3,0.27,0.25
133,2021,0.23,0.15,0.41,0.21
133,2050,0.23,0.15,0.41,0.21
134,2005,0.18,0.3,0.27,0.25
134,2021,0.23,0.15,0.41,0.21
134,2050,0.23,0.15,0.41,0.21
135,2005,0.43,0.26,0.26,0.05
135,2021,0.2325,0.1525,0.4125,0.2025
135,2050,0.2325,0.1525,0.4125,0.2025
136,2005,0.43,0.26,0.27,0.04
136,2021,0.23,0.15,0.41,0.21
136,2050,0.23,0.15,0.41,0.21
137,2005,0.4275,0.2575,0.2675,0.0475
137,2021,0.23,0.15,0.41,0.21
137,2050,0.23,0.15,0.41,0.21
138,2005,0.1775,0.2875,0.2775,0.2575
138,2021,0.23,0.15,0.41,0.21
138,2050,0.23,0.15,0.41,0.21
139,2005,0.1575,0.3075,0.3375,0.1975
139,2021,0.14,0.25,0.42,0.19
139,2050,0.14,0.25,0.42,0.19
140,2005,0.1525,0.2925,0.2625,0.2925
140,2021,0.23,0.25,0.37,0.15
140,2050,0.23,0.25,0.37,0.15
141,2005,0.295,0.345,0.125,0.235
141,2021,0.2925,0.2425,0.3425,0.1225
141,2050,0.2925,0.2425,0.3425,0.1225
143,2005,0.2775,0.3675,0.0975,0.2575
143,2021,0.26,0.25,0.36,0.13
143,2050,0.26,0.25,0.36,0.13
144,2005,0.2925,0.3625,0.0925,0.2525
144,2021,0.28,0.25,0.35,0.12
144,2050,0.28,0.25,0.35,0.12
146,2005,0.2325,0.2825,0.2525,0.2325
146,2021,0.255,0.245,0.375,0.125
146,2050,0.255,0.245,0.375,0.125
147,2005,0.19,0.33,0.27,0.21
147,2021,0.175,0.235,0.435,0.155
147,2050,0.175,0.235,0.435,0.155
148,2005,0.31,0.26,0.25,0.18
148,2021,0.18,0.23,0.45,0.14
148,2050,0.18,0.23,0.45,0.14
149,2005,0.6025,0.1625,0.1325,0.1025
149,2021,0.25,0.19,0.5,0.06
149,2050,0.25,0.19,0.5,0.06
150,2005,0.6,0.27,0.08,0.05
150,2021,0.6625,0.1925,0.1325,0.0125
150,2050,0.6625,0.1925,0.1325,0.0125
151,2005,0.6025,0.2725,0.0825,0.0425
151,2021,0.66,0.2,0.13,0.01
151,2050,0.66,0.2,0.13,0.01
152,2005,0.1575,0.3075,0.3375,0.1975
152,2021,0.14,0.25,0.42,0.19
152,2050,0.14,0.25,0.42,0.19
153,2005,0.1575,0.3075,0.3375,0.1975
153,2021,0.14,0.25,0.42,0.19
153,2050,0.14,0.25,0.42,0.19
154,2005,0.1975,0.3375,0.2875,0.1775
154,2021,0.14,0.22,0.5,0.14
154,2050,0.14,0.22,0.5,0.14
155,2005,0.295,0.285,0.265,0.155
155,2021,0.14,0.18,0.59,0.09
155,2050,0.14,0.18,0.59,0.09
156,2005,0.54,0.24,0.13,0.09
156,2021,0.39,0.33,0.26,0.02
156,2050,0.39,0.33,0.26,0.02
158,2005,0.45,0.36,0.15,0.04
158,2021,0.4,0.33,0.25,0.02
158,2050,0.4,0.33,0.25,0.02
162,2005,0.5325,0.2425,0.1325,0.0925
162,2021,0.3975,0.3275,0.2575,0.0175
162,2050,0.3975,0.3275,0.2575,0.0175
164,2005,0.6225,0.2025,0.1225,0.0525
164,2021,0.26,0.27,0.36,0.11
164,2050,0.26,0.27,0.36,0.11
168,2005,0.2625,0.3725,0.2725,0.0925
168,2021,0.28,0.37,0.23,0.12
168,2050,0.28,0.37,0.23,0.12
169,2005,0.3,0.21,0.21,0.28
169,2021,0.12,0.27,0.39,0.22
169,2050,0.12,0.27,0.39,0.22
170,2005,0.3,0.21,0.21,0.28
170,2021,0.12,0.27,0.39,0.22
170,2050,0.12,0.27,0.39,0.22
171,2005,0.3,0.21,0.21,0.28
171,2021,0.12,0.27,0.39,0.22
171,2050,0.12,0.27,0.39,0.22
172,2005,0.1875,0.2575,0.3675,0.1875
172,2021,0.1925,0.3125,0.3225,0.1725
172,2050,0.1925,0.3125,0.3225,0.1725
173,2005,0.38,0.3,0.22,0.1
173,2021,0.27,0.32,0.3,0.11
173,2050,0.27,0.32,0.3,0.11
180,2005,0.27,0.38,0.28,0.07
180,2021,0.2,0.27,0.37,0.16
180,2050,0.2,0.27,0.37,0.16
185,2005,0.3,0.21,0.21,0.28
185,2021,0.12,0.27,0.39,0.22
185,2050,0.12,0.27,0.39,0.22
186,2005,0.345,0.395,0.235,0.025
186,2021,0.12,0.27,0.39,0.22
186,2050,0.12,0.27,0.39,0.22
189,2005,0.3825,0.2725,0.2525,0.0925
189,2021,0.4125,0.1925,0.3425,0.0525
189,2050,0.4125,0.1925,0.3425,0.0525
193,2005,0.2275,0.2075,0.3975,0.1675
193,2021,0.1875,0.2675,0.3575,0.1875
193,2050,0.1875,0.2675,0.3575,0.1875
194,2005,0.435,0.305,0.115,0.145
194,2021,0.42,0.19,0.34,0.05
194,2050,0.42,0.19,0.34,0.05
196,2005,0.2825,0.3725,0.2425,0.1025
196,2021,0.2775,0.2375,0.3575,0.1275
196,2050,0.2775,0.2375,0.3575,0.1275
200,2005,0.215,0.405,0.275,0.105
200,2021,0.19,0.27,0.36,0.18
200,2050,0.19,0.27,0.36,0.18
204,2005,0.2275,0.1975,0.4075,0.1675
204,2021,0.2,0.26,0.36,0.18
204,2050,0.2,0.26,0.36,0.18
205,2005,0.2225,0.2025,0.4125,0.1625
205,2021,0.19,0.27,0.36,0.18
205,2050,0.19,0.27,0.36,0.18
206,2005,0.2225,0.2025,0.4125,0.1625
206,2021,0.19,0.27,0.36,0.18
206,2050,0.19,0.27,0.36,0.18
207,2005,0.1,0.1,0.29,0.51
207,2021,0.07,0.16,0.41,0.36
207,2050,0.07,0.16,0.41,0.36
211,2005,0.5025,0.2925,0.1425,0.0625
211,2021,0.33,0.18,0.4,0.09
211,2050,0.33,0.18,0.4,0.09
212,2005,0.64,0.26,0.09,0.01
212,2021,0.3825,0.1825,0.3625,0.0725
212,2050,0.3825,0.1825,0.3625,0.0725
213,2005,0.55,0.24,0.13,0.08
213,2021,0.475,0.155,0.355,0.015
213,2050,0.475,0.155,0.355,0.015
214,2005,0.5425,0.2425,0.1325,0.0825
214,2021,0.47,0.16,0.36,0.01
214,2050,0.47,0.16,0.36,0.01
220,2005,0.645,0.245,0.095,0.015
220,2021,0.39,0.18,0.36,0.07
220,2050,0.39,0.18,0.36,0.07
221,2005,0.6425,0.2525,0.0925,0.0125
221,2021,0.39,0.18,0.36,0.07
221,2050,0.39,0.18,0.36,0.07
222,2005,0.5525,0.2625,0.1525,0.0325
222,2021,0.3625,0.1825,0.3825,0.0725
222,2050,0.3625,0.1825,0.3825,0.0725
223,2005,0.6375,0.2475,0.0975,0.0175
223,2021,0.39,0.18,0.36,0.07
223,2050,0.39,0.18,0.36,0.07
224,2005,0.6375,0.2475,0.0975,0.0175
224,2021,0.39,0.18,0.36,0.07
224,2050,0.39,0.18,0.36,0.07
225,2005,0.39,0.28,0.18,0.15
225,2021,0.39,0.18,0.36,0.07
225,2050,0.39,0.18,0.36,0.07
226,2005,0.4075,0.2875,0.1775,0.1275
226,2021,0.3675,0.1975,0.3675,0.0675
226,2050,0.3675,0.1975,0.3675,0.0675
227,2005,0.53,0.29,0.16,0.02
227,2021,0.275,0.285,0.365,0.075
227,2050,0.275,0.285,0.365,0.075
229,2005,0.39,0.28,0.18,0.15
229,2021,0.39,0.18,0.36,0.07
229,2050,0.39,0.18,0.36,0.07
230,2005,0.64,0.25,0.1,0.01
230,2021,0.39,0.18,0.36,0.07
230,2050,0.39,0.18,0.36,0.07
231,2005,0.3575,0.3275,0.1975,0.1175
231,2021,0.28,0.27,0.37,0.08
231,2050,0.28,0.27,0.37,0.08
232,2005,0.3525,0.3325,0.1825,0.1325
232,2021,0.28,0.27,0.37,0.08
232,2050,0.28,0.27,0.37,0.08
233,2005,0.365,0.385,0.215,0.035
233,2021,0.28,0.27,0.37,0.08
233,2050,0.28,0.27,0.37,0.08
234,2005,0.365,0.385,0.215,0.035
234,2021,0.28,0.27,0.37,0.08
234,2050,0.28,0.27,0.37,0.08
235,2005,0.635,0.255,0.095,0.015
235,2021,0.39,0.18,0.36,0.07
235,2050,0.39,0.18,0.36,0.07
236,2005,0.71,0.14,0.1,0.05
236,2021,0.465,0.165,0.355,0.015
236,2050,0.465,0.165,0.355,0.015
237,2005,0.6825,0.1525,0.1025,0.0625
237,2021,0.47,0.16,0.36,0.01
237,2050,0.47,0.16,0.36,0.01
238,2005,0.455,0.275,0.205,0.065
238,2021,0.09,0.16,0.41,0.34
238,2050,0.09,0.16,0.41,0.34
242,2005,0.33,0.4,0.15,0.12
242,2021,0.28,0.27,0.37,0.08
242,2050,0.28,0.27,0.37,0.08
243,2005,0.5725,0.1825,0.1525,0.0925
243,2021,0.2725,0.2825,0.3925,0.0525
243,2050,0.2725,0.2825,0.3925,0.0525
244,2005,0.2925,0.2225,0.2925,0.1925
244,2021,0.1825,0.1725,0.5425,0.1025
244,2050,0.1825,0.1725,0.5425,0.1025
245,2005,0.2825,0.3225,0.2225,0.1725
245,2021,0.18,0.17,0.55,0.1
245,2050,0.18,0.17,0.55,0.1
246,2005,0.0725,0.2025,0.3925,0.3325
246,2021,0.08,0.13,0.41,0.38
246,2050,0.08,0.13,0.41,0.38
249,2005,0.2625,0.3325,0.3925,0.0125
249,2021,0.08,0.13,0.41,0.38
249,2050,0.08,0.13,0.41,0.38
254,2005,0.4175,0.2375,0.2775,0.0675
254,2021,0.195,0.175,0.535,0.095
254,2050,0.195,0.175,0.535,0.095
256,2005,0.275,0.185,0.295,0.245
256,2021,0.2,0.27,0.43,0.1
256,2050,0.2,0.27,0.43,0.1
257,2005,0.48,0.28,0.22,0.02
257,2021,0.2,0.27,0.43,0.1
257,2050,0.2,0.27,0.43,0.1
258,2005,0.5875,0.3075,0.0975000000000001,0.00750000000000005
258,2021,0.2125,0.2725,0.4125,0.1025
258,2050,0.2125,0.2725,0.4125,0.1025
259,2005,0.5025,0.2925,0.1825,0.0225
259,2021,0.1975,0.2675,0.4275,0.1075
259,2050,0.1975,0.2675,0.4275,0.1075
260,2005,0.0725,0.2025,0.3925,0.3325
260,2021,0.08,0.13,0.41,0.38
260,2050,0.08,0.13,0.41,0.38
261,2005,0.0725,0.2025,0.3925,0.3325
261,2021,0.08,0.13,0.41,0.38
261,2050,0.08,0.13,0.41,0.38
279,2005,0.0725,0.2025,0.3925,0.3325
279,2021,0.08,0.13,0.41,0.38
279,2050,0.08,0.13,0.41,0.38
280,2005,0.0725,0.2025,0.3925,0.3325
280,2021,0.08,0.13,0.41,0.38
280,2050,0.08,0.13,0.41,0.38
281,2005,0.1225,0.2325,0.3925,0.2525
281,2021,0.08,0.13,0.41,0.38
281,2050,0.08,0.13,0.41,0.38
282,2005,0.5525,0.1825,0.1625,0.1025
282,2021,0.26,0.27,0.42,0.05
282,2050,0.26,0.27,0.42,0.05
283,2005,0.5775,0.1875,0.1475,0.0875
283,2021,0.27,0.28,0.4,0.05
283,2050,0.27,0.28,0.4,0.05
284,2005,0.31,0.29,0.23,0.17
284,2021,0.27,0.28,0.4,0.05
284,2050,0.27,0.28,0.4,0.05
285,2005,0.2925,0.2225,0.2925,0.1925
285,2021,0.18,0.17,0.55,0.1
285,2050,0.18,0.17,0.55,0.1
286,2005,0.3925,0.2825,0.2125,0.1125
286,2021,0.44,0.3,0.21,0.05
286,2050,0.44,0.3,0.21,0.05
289,2005,0.2925,0.3125,0.2225,0.1725
289,2021,0.1825,0.1725,0.5425,0.1025
289,2050,0.1825,0.1725,0.5425,0.1025
290,2005,0.39,0.31,0.2,0.1
290,2021,0.4875,0.2475,0.2075,0.0575
290,2050,0.4875,0.2475,0.2075,0.0575
294,2005,0.36,0.33,0.2,0.11
294,2021,0.51,0.18,0.24,0.07
294,2050,0.51,0.18,0.24,0.07
295,2005,0.36,0.33,0.2,0.11
295,2021,0.51,0.18,0.24,0.07
295,2050,0.51,0.18,0.24,0.07
296,2005,0.3575,0.3375,0.1875,0.1175
296,2021,0.47,0.2,0.26,0.07
296,2050,0.47,0.2,0.26,0.07
298,2005,0.47,0.12,0.3,0.11
298,2021,0.2825,0.2425,0.3825,0.0925
298,2050,0.2825,0.2425,0.3825,0.0925
299,2005,0.5625,0.2325,0.1325,0.0725
299,2021,0.51,0.18,0.24,0.07
299,2050,0.51,0.18,0.24,0.07
300,2005,0.4225,0.2925,0.1825,0.1025
300,2021,0.5025,0.1825,0.2425,0.0725
300,2050,0.5025,0.1825,0.2425,0.0725
301,2005,0.4575,0.2975,0.1875,0.0575
301,2021,0.2,0.27,0.43,0.1
301,2050,0.2,0.27,0.43,0.1
302,2005,0.4175,0.3075,0.1775,0.0975
302,2021,0.23,0.27,0.4,0.1
302,2050,0.23,0.27,0.4,0.1
303,2005,0.4125,0.3525,0.1425,0.0925
303,2021,0.24,0.27,0.39,0.1
303,2050,0.24,0.27,0.39,0.1
304,2005,0.32,0.35,0.16,0.17
304,2021,0.39,0.25,0.26,0.1
304,2050,0.39,0.25,0.26,0.1
309,2005,0.245,0.165,0.265,0.325
309,2021,0.17,0.13,0.41,0.29
309,2050,0.17,0.13,0.41,0.29
310,2005,0.23,0.25,0.28,0.24
310,2021,0.23,0.24,0.33,0.2
310,2050,0.23,0.24,0.33,0.2
312,2005,0.405,0.365,0.145,0.085
312,2021,0.3875,0.2475,0.2575,0.1075
312,2050,0.3875,0.2475,0.2575,0.1075
313,2005,0.5725,0.3125,0.0925,0.0225
313,2021,0.39,0.25,0.26,0.1
313,2050,0.39,0.25,0.26,0.1
314,2005,0.21,0.16,0.27,0.36
314,2021,0.17,0.13,0.41,0.29
314,2050,0.17,0.13,0.41,0.29
322,2005,0.12,0.14,0.32,0.42
322,2021,0.17,0.13,0.41,0.29
322,2050,0.17,0.13,0.41,0.29
323,2005,0.085,0.095,0.375,0.445
323,2021,0.17,0.13,0.41,0.29
323,2050,0.17,0.13,0.41,0.29
324,2005,0.16,0.16,0.26,0.42
324,2021,0.23,0.24,0.33,0.2
324,2050,0.23,0.24,0.33,0.2
330,2005,0.4125,0.3625,0.1425,0.0825
330,2021,0.39,0.25,0.26,0.1
330,2050,0.39,0.25,0.26,0.1
332,2005,0.16,0.17,0.27,0.4
332,2021,0.17,0.13,0.41,0.29
332,2050,0.17,0.13,0.41,0.29
333,2005,0.1625,0.2025,0.1925,0.4425
333,2021,0.205,0.125,0.485,0.185
333,2050,0.205,0.125,0.485,0.185
334,2005,0.1725,0.1925,0.2425,0.3925
334,2021,0.21,0.12,0.49,0.18
334,2050,0.21,0.12,0.49,0.18
335,2005,0.3075,0.2975,0.2475,0.1475
335,2021,0.2925,0.1425,0.4125,0.1525
335,2050,0.2925,0.1425,0.4125,0.1525
336,2005,0.2625,0.2625,0.3325,0.1425
336,2021,0.1025,0.2425,0.5225,0.1325
336,2050,0.1025,0.2425,0.5225,0.1325
338,2005,0.2825,0.2825,0.3025,0.1325
338,2021,0.15,0.24,0.49,0.12
338,2050,0.15,0.24,0.49,0.12
345,2005,0.0325,0.1025,0.2525,0.6125
345,2021,0.09,0.06,0.38,0.47
345,2050,0.09,0.06,0.38,0.47
346,2005,0.14,0.14,0.28,0.44
346,2021,0.1175,0.1175,0.4975,0.2675
346,2050,0.1175,0.1175,0.4975,0.2675
347,2005,0.1675,0.1575,0.3075,0.3675
347,2021,0.12,0.12,0.5,0.26
347,2050,0.12,0.12,0.5,0.26
350,2005,0.145,0.365,0.265,0.225
350,2021,0.12,0.24,0.51,0.13
350,2050,0.12,0.24,0.51,0.13
354,2005,0.32,0.35,0.16,0.17
354,2021,0.39,0.25,0.26,0.1
354,2050,0.39,0.25,0.26,0.1
357,2005,0.1475,0.2075,0.2475,0.3975
357,2021,0.11,0.1,0.55,0.24
357,2050,0.11,0.1,0.55,0.24
358,2005,0.22,0.19,0.22,0.37
358,2021,0.2,0.16,0.47,0.17
358,2050,0.2,0.16,0.47,0.17
359,2005,0.2,0.21,0.27,0.32
359,2021,0.2,0.16,0.47,0.17
359,2050,0.2,0.16,0.47,0.17
360,2005,0.15,0.15,0.29,0.41
360,2021,0.12,0.12,0.5,0.26
360,2050,0.12,0.12,0.5,0.26
361,2005,0.1425,0.1425,0.2825,0.4325
361,2021,0.1125,0.1125,0.5025,0.2725
361,2050,0.1125,0.1125,0.5025,0.2725
362,2005,0.1425,0.1425,0.2825,0.4325
362,2021,0.1225,0.1125,0.4925,0.2725
362,2050,0.1225,0.1125,0.4925,0.2725
363,2005,0.1525,0.1925,0.3425,0.3125
363,2021,0.12,0.12,0.5,0.26
363,2050,0.12,0.12,0.5,0.26
365,2005,0.16,0.21,0.37,0.26
365,2021,0.1225,0.1225,0.4925,0.2625
365,2050,0.1225,0.1225,0.4925,0.2625
366,2005,0.2675,0.3375,0.1575,0.2375
366,2021,0.2,0.16,0.45,0.19
366,2050,0.2,0.16,0.45,0.19
368,2005,0.24,0.21,0.32,0.23
368,2021,0.2,0.16,0.46,0.18
368,2050,0.2,0.16,0.46,0.18
373,2005,0.115,0.265,0.275,0.345
373,2021,0.1725,0.2425,0.4225,0.1625
373,2050,0.1725,0.2425,0.4225,0.1625
374,2005,0.1525,0.2225,0.2325,0.3925
374,2021,0.1125,0.1025,0.5525,0.2325
374,2050,0.1125,0.1025,0.5525,0.2325
376,2005,0.2075,0.3375,0.2675,0.1875
376,2021,0.19,0.16,0.41,0.24
376,2050,0.19,0.16,0.41,0.24
378,2005,0.12,0.16,0.36,0.36
378,2021,0.19,0.16,0.41,0.24
378,2050,0.19,0.16,0.41,0.24
379,2005,0.1175,0.1475,0.2575,0.4775
379,2021,0.19,0.16,0.41,0.24
379,2050,0.19,0.16,0.41,0.24
380,2005,0.0975,0.2875,0.3475,0.2675
380,2021,0.13,0.16,0.44,0.27
380,2050,0.13,0.16,0.44,0.27
381,2005,0.1225,0.0925,0.1725,0.6125
381,2021,0.09,0.06,0.38,0.47
381,2050,0.09,0.06,0.38,0.47
382,2005,0.09,0.12,0.24,0.55
382,2021,0.1525,0.1525,0.3625,0.3325
