,Year,PropRuralMixed,PropRuralOnSite,PropRuralRemote,PropTownMixed,PropTownOnSite,PropTownRemote,PropMetroMixed,PropMetroOnSite,PropMetroRemote
Malheur,2040,0.2482,0.5142,0.2376,0.2502,0.5097,0.2401,0,0,0
Marion,2040,0.291,0.4659,0.2432,0.2391,0.5353,0.2256,0.2657,0.4971,0.2372
Morrow,2040,0.2391,0.5793,0.1815,0.2201,0.5907,0.1893,0,0,0
Multnomah,2040,0.2873,0.4435,0.2693,0,0,0,0.2872,0.4298,0.283
Polk,2040,0.273,0.5044,0.2226,0.2439,0.5274,0.2287,0.2896,0.4597,0.2507
Sherman,2040,0.2732,0.4814,0.2454,0,0,0,0,0,0
Tillamook,2040,0.2343,0.5635,0.2022,0.2546,0.5521,0.1933,0,0,0
Umatilla,2040,0.2606,0.5232,0.2162,0.2606,0.5253,0.2141,0.2298,0.5464,0.2238
Union,2040,0.209,0.6198,0.1712,0.2107,0.6001,0.1893,0,0,0
Wallowa,2040,0.2584,0.5574,0.1841,0,0,0,0,0,0
Wasco,2040,0.2609,0.5456,0.1935,0.235,0.5817,0.1833,0,0,0
Washington,2040,0.2739,0.4601,0.266,0,0,0,0.2897,0.4258,0.2845
Wheeler,2040,0.1856,0.6625,0.1519,0,0,0,0,0,0
Yamhill,2040,0.3043,0.4323,0.2634,0.2537,0.506,0.2403,0,0,0
