"Geo","Year","CarSvcLevel","ShdSvcAvail"
154,2005,"Low",0
154,2021,"Low",0
154,2050,"Low",0
155,2005,"Low",0
155,2021,"Low",0
155,2050,"Low",0
156,2005,"Low",0
156,2021,"High",1
156,2050,"High",1
158,2005,"Low",0
158,2021,"High",1
158,2050,"High",1
162,2005,"Low",0
162,2021,"High",1
162,2050,"High",1
164,2005,"Low",0
164,2021,"High",1
164,2050,"High",1
168,2005,"Low",0
168,2021,"Low",0
168,2050,"Low",0
169,2005,"Low",0
169,2021,"Low",0
169,2050,"Low",0
170,2005,"Low",0
170,2021,"Low",0
170,2050,"Low",0
171,2005,"Low",0
171,2021,"Low",0
171,2050,"Low",0
172,2005,"Low",0
172,2021,"Low",0
172,2050,"Low",0
173,2005,"Low",0
173,2021,"High",1
173,2050,"High",1
180,2005,"Low",0
180,2021,"High",1
180,2050,"High",1
185,2005,"Low",0
185,2021,"Low",0
185,2050,"Low",0
186,2005,"Low",0
186,2021,"Low",0
186,2050,"Low",0
189,2005,"Low",0
189,2021,"Low",0
189,2050,"High",1
193,2005,"Low",0
193,2021,"Low",0
193,2050,"Low",0
194,2005,"Low",0
194,2021,"Low",0
194,2050,"Low",0
196,2005,"Low",0
196,2021,"Low",0
196,2050,"Low",0
200,2005,"Low",0
200,2021,"High",1
200,2050,"High",1
204,2005,"Low",0
204,2021,"Low",0
204,2050,"Low",0
205,2005,"Low",0
205,2021,"Low",0
205,2050,"Low",0
206,2005,"Low",0
206,2021,"Low",0
206,2050,"Low",0
207,2005,"Low",0
207,2021,"Low",0
207,2050,"Low",0
211,2005,"Low",0
211,2021,"Low",0
211,2050,"High",1
212,2005,"Low",0
212,2021,"High",1
212,2050,"High",1
213,2005,"Low",0
213,2021,"High",1
213,2050,"High",1
214,2005,"Low",0
214,2021,"High",1
214,2050,"High",1
220,2005,"Low",0
220,2021,"Low",0
220,2050,"Low",0
221,2005,"Low",0
221,2021,"Low",0
221,2050,"High",1
222,2005,"Low",0
222,2021,"Low",0
222,2050,"Low",0
223,2005,"Low",0
223,2021,"Low",0
223,2050,"High",1
224,2005,"Low",0
224,2021,"Low",0
224,2050,"High",1
225,2005,"Low",0
225,2021,"High",1
225,2050,"High",1
226,2005,"Low",0
226,2021,"Low",0
226,2050,"High",1
227,2005,"Low",0
227,2021,"High",1
227,2050,"High",1
229,2005,"Low",0
229,2021,"High",1
229,2050,"High",1
230,2005,"Low",0
230,2021,"Low",0
230,2050,"High",1
231,2005,"Low",0
231,2021,"Low",0
231,2050,"High",1
232,2005,"Low",0
232,2021,"High",1
232,2050,"High",1
233,2005,"Low",0
233,2021,"Low",0
233,2050,"High",1
234,2005,"Low",0
234,2021,"High",1
234,2050,"High",1
235,2005,"Low",0
235,2021,"High",1
235,2050,"High",1
236,2005,"Low",0
236,2021,"High",1
236,2050,"High",1
237,2005,"Low",0
237,2021,"High",1
237,2050,"High",1
238,2005,"Low",0
238,2021,"High",1
238,2050,"High",1
242,2005,"Low",0
242,2021,"High",1
242,2050,"High",1
243,2005,"Low",0
243,2021,"High",1
243,2050,"High",1
244,2005,"Low",0
244,2021,"High",1
244,2050,"High",1
245,2005,"Low",0
245,2021,"Low",0
245,2050,"High",1
246,2005,"Low",0
246,2021,"High",1
246,2050,"High",1
249,2005,"Low",0
249,2021,"High",1
249,2050,"High",1
254,2005,"Low",0
254,2021,"High",1
254,2050,"High",1
256,2005,"Low",0
256,2021,"High",1
256,2050,"High",1
257,2005,"Low",0
257,2021,"High",1
257,2050,"High",1
258,2005,"Low",0
258,2021,"High",1
258,2050,"High",1
259,2005,"Low",0
259,2021,"High",1
259,2050,"High",1
260,2005,"Low",0
260,2021,"High",1
260,2050,"High",1
261,2005,"Low",0
261,2021,"High",1
261,2050,"High",1
279,2005,"Low",0
279,2021,"Low",0
279,2050,"Low",0
280,2005,"Low",0
280,2021,"High",1
280,2050,"High",1
281,2005,"Low",0
281,2021,"High",1
281,2050,"High",1
282,2005,"Low",0
282,2021,"Low",0
282,2050,"Low",0
283,2005,"Low",0
283,2021,"Low",0
283,2050,"Low",0
284,2005,"Low",0
284,2021,"Low",0
284,2050,"Low",0
285,2005,"Low",0
285,2021,"Low",0
285,2050,"Low",0
286,2005,"Low",0
286,2021,"High",1
286,2050,"High",1
289,2005,"Low",0
289,2021,"Low",0
289,2050,"Low",0
290,2005,"Low",0
290,2021,"High",1
290,2050,"High",1
294,2005,"Low",0
294,2021,"High",1
294,2050,"High",1
295,2005,"Low",0
295,2021,"Low",0
295,2050,"High",1
296,2005,"Low",0
296,2021,"High",1
296,2050,"High",1
298,2005,"Low",0
298,2021,"High",1
298,2050,"High",1
299,2005,"Low",0
299,2021,"Low",0
299,2050,"Low",0
300,2005,"Low",0
300,2021,"Low",0
300,2050,"Low",0
301,2005,"Low",0
301,2021,"High",1
301,2050,"High",1
302,2005,"Low",0
302,2021,"High",1
302,2050,"High",1
303,2005,"Low",0
303,2021,"High",1
303,2050,"High",1
304,2005,"Low",0
304,2021,"High",1
304,2050,"High",1
309,2005,"Low",0
309,2021,"High",1
309,2050,"High",1
310,2005,"Low",0
310,2021,"High",1
310,2050,"High",1
312,2005,"Low",0
312,2021,"High",1
312,2050,"High",1
313,2005,"Low",0
313,2021,"High",1
313,2050,"High",1
314,2005,"Low",0
314,2021,"Low",0
314,2050,"High",1
322,2005,"Low",0
322,2021,"Low",0
322,2050,"Low",0
323,2005,"Low",0
323,2021,"High",1
323,2050,"High",1
324,2005,"Low",0
324,2021,"Low",0
324,2050,"High",1
330,2005,"Low",0
330,2021,"High",1
330,2050,"High",1
332,2005,"Low",0
332,2021,"Low",0
332,2050,"Low",0
333,2005,"Low",0
333,2021,"Low",0
333,2050,"Low",0
334,2005,"Low",0
334,2021,"Low",0
334,2050,"Low",0
335,2005,"Low",0
335,2021,"High",1
335,2050,"High",1
336,2005,"Low",0
336,2021,"High",1
336,2050,"High",1
338,2005,"Low",0
338,2021,"Low",0
338,2050,"High",1
345,2005,"Low",0
345,2021,"Low",0
345,2050,"Low",0
346,2005,"Low",0
346,2021,"Low",0
346,2050,"Low",0
347,2005,"Low",0
347,2021,"Low",0
347,2050,"Low",0
350,2005,"Low",0
350,2021,"Low",0
350,2050,"High",1
354,2005,"Low",0
354,2021,"Low",0
354,2050,"Low",0
357,2005,"Low",0
357,2021,"Low",0
357,2050,"Low",0
358,2005,"Low",0
358,2021,"Low",0
358,2050,"Low",0
359,2005,"Low",0
359,2021,"Low",0
359,2050,"High",1
360,2005,"Low",0
360,2021,"Low",0
360,2050,"Low",0
361,2005,"Low",0
361,2021,"Low",0
361,2050,"Low",0
362,2005,"Low",0
362,2021,"Low",0
362,2050,"Low",0
363,2005,"Low",0
363,2021,"Low",0
363,2050,"Low",0
365,2005,"Low",0
365,2021,"Low",0
365,2050,"High",1
366,2005,"Low",0
366,2021,"High",1
366,2050,"High",1
368,2005,"Low",0
368,2021,"Low",0
368,2050,"High",1
373,2005,"Low",0
373,2021,"Low",0
373,2050,"Low",0
374,2005,"Low",0
374,2021,"Low",0
374,2050,"High",1
376,2005,"Low",0
376,2021,"High",1
376,2050,"High",1
378,2005,"Low",0
378,2021,"Low",0
378,2050,"Low",0
379,2005,"Low",0
379,2021,"Low",0
379,2050,"Low",0
380,2005,"Low",0
380,2021,"Low",0
380,2050,"Low",0
381,2005,"Low",0
381,2021,"High",1
381,2050,"High",1
382,2005,"Low",0
382,2021,"Low",0
382,2050,"Low",0
383,2005,"Low",0
383,2021,"Low",0
383,2050,"Low",0
384,2005,"Low",0
384,2021,"Low",0
384,2050,"High",1
388,2005,"Low",0
388,2021,"Low",0
388,2050,"Low",0
389,2005,"Low",0
389,2021,"Low",0
389,2050,"High",1
390,2005,"Low",0
390,2021,"Low",0
390,2050,"Low",0
395,2005,"Low",0
395,2021,"Low",0
395,2050,"Low",0
396,2005,"Low",0
396,2021,"Low",0
396,2050,"High",1
411,2005,"Low",0
411,2021,"Low",0
411,2050,"High",1
414,2005,"Low",0
414,2021,"Low",0
414,2050,"Low",0
415,2005,"Low",0
415,2021,"Low",0
415,2050,"Low",0
416,2005,"Low",0
416,2021,"Low",0
416,2050,"Low",0
417,2005,"Low",0
417,2021,"Low",0
417,2050,"Low",0
418,2005,"Low",0
418,2021,"Low",0
418,2050,"Low",0
419,2005,"Low",0
419,2021,"Low",0
419,2050,"Low",0
420,2005,"Low",0
420,2021,"Low",0
420,2050,"Low",0
421,2005,"Low",0
421,2021,"Low",0
421,2050,"Low",0
422,2005,"Low",0
422,2021,"Low",0
422,2050,"Low",0
423,2005,"Low",0
423,2021,"Low",0
423,2050,"Low",0
424,2005,"Low",0
424,2021,"Low",0
424,2050,"Low",0
426,2005,"Low",0
426,2021,"Low",0
426,2050,"Low",0
427,2005,"Low",0
427,2021,"Low",0
427,2050,"Low",0
428,2005,"Low",0
428,2021,"Low",0
428,2050,"Low",0
429,2005,"Low",0
429,2021,"Low",0
429,2050,"Low",0
430,2005,"Low",0
430,2021,"Low",0
430,2050,"Low",0
431,2005,"Low",0
431,2021,"Low",0
431,2050,"Low",0
432,2005,"Low",0
432,2021,"Low",0
432,2050,"Low",0
433,2005,"Low",0
433,2021,"Low",0
433,2050,"Low",0
434,2005,"Low",0
434,2021,"Low",0
434,2050,"Low",0
435,2005,"Low",0
435,2021,"Low",0
435,2050,"Low",0
436,2005,"Low",0
436,2021,"Low",0
436,2050,"Low",0
437,2005,"Low",0
437,2021,"Low",0
437,2050,"Low",0
439,2005,"Low",0
439,2021,"High",1
439,2050,"High",1
442,2005,"Low",0
442,2021,"Low",0
442,2050,"Low",0
443,2005,"Low",0
443,2021,"Low",0
443,2050,"Low",0
444,2005,"Low",0
444,2021,"Low",0
444,2050,"Low",0
447,2005,"Low",0
447,2021,"High",1
447,2050,"High",1
450,2005,"Low",0
450,2021,"Low",0
450,2050,"Low",0
451,2005,"Low",0
451,2021,"Low",0
451,2050,"Low",0
