Geo,Year,pa0,pa1,pa2,pa3
148,2005,10,61,17,12
149,2005,22,40,16,22
150,2005,11,58,20,11
151,2005,20,37,21,22
152,2005,23,44,14,19
153,2005,17,43,18,22
154,2005,19,61,10,10
155,2005,20,55,12,13
156,2005,16,48,11,25
158,2005,23,41,13,23
162,2005,23,41,23,13
164,2005,15,53,18,14
168,2005,21,43,21,15
169,2005,19,55,12,14
170,2005,25,39,18,18
171,2005,18,44,16,22
172,2005,20,33,22,25
173,2005,12,58,16,14
180,2005,25,29,25,21
185,2005,22,39,16,23
186,2005,16,48,11,25
189,2005,23,41,13,23
193,2005,10,43,24,23
194,2005,20,51,18,11
196,2005,23,28,24,25
200,2005,10,46,22,22
204,2005,15,40,21,24
205,2005,13,56,13,18
206,2005,19,39,17,25
207,2005,12,45,23,20
211,2005,13,58,14,15
212,2005,15,49,22,14
213,2005,15,57,16,12
214,2005,20,48,21,11
220,2005,13,53,22,12
221,2005,13,50,20,17
222,2005,18,47,16,19
223,2005,12,50,14,24
224,2005,22,35,20,23
225,2005,14,49,19,18
226,2005,14,44,18,24
227,2005,13,50,19,18
229,2005,23,39,22,16
230,2005,22,43,18,17
231,2005,23,35,22,20
232,2005,15,52,11,22
233,2005,15,46,14,25
234,2005,24,33,21,22
235,2005,25,50,13,12
236,2005,22,45,14,19
237,2005,18,43,16,23
238,2005,23,34,23,20
242,2005,24,49,13,14
243,2005,22,46,10,22
244,2005,10,63,10,17
245,2005,25,39,16,20
246,2005,16,49,10,25
249,2005,25,42,11,22
254,2005,16,51,14,19
256,2005,18,58,12,12
257,2005,14,49,24,13
258,2005,13,57,19,11
259,2005,24,41,23,12
260,2005,21,43,16,20
261,2005,15,60,14,11
279,2005,14,57,18,11
280,2005,25,38,25,12
281,2005,11,61,17,11
282,2005,13,58,19,10
283,2005,21,44,18,17
284,2005,22,37,21,20
285,2005,25,44,20,11
286,2005,15,47,23,15
289,2005,10,46,20,24
290,2005,13,58,13,16
294,2005,14,49,17,20
295,2005,13,58,11,18
296,2005,16,42,22,20
298,2005,25,33,19,23
299,2005,14,53,21,12
300,2005,22,38,16,24
301,2005,12,52,17,19
302,2005,12,51,12,25
303,2005,17,41,17,25
304,2005,11,42,25,22
309,2005,25,29,21,25
310,2005,10,50,20,20
312,2005,21,49,16,14
313,2005,19,48,19,14
314,2005,24,38,21,17
322,2005,15,56,10,19
323,2005,25,34,23,18
324,2005,17,49,17,17
330,2005,25,39,20,16
332,2005,22,39,21,18
333,2005,13,58,16,13
334,2005,14,56,19,11
335,2005,21,39,18,22
336,2005,13,47,23,17
338,2005,15,46,16,23
345,2005,17,57,11,15
346,2005,12,46,18,24
347,2005,12,59,10,19
350,2005,16,58,13,13
354,2005,20,50,14,16
357,2005,20,42,20,18
358,2005,11,52,17,20
359,2005,21,39,19,21
360,2005,15,44,25,16
361,2005,11,56,22,11
362,2005,10,60,19,11
363,2005,11,67,11,11
365,2005,11,59,12,18
366,2005,15,37,24,24
368,2005,13,64,13,10
373,2005,18,57,10,15
374,2005,19,52,18,11
376,2005,12,50,20,18
378,2005,14,56,13,17
379,2005,22,43,11,24
380,2005,24,45,18,13
381,2005,15,39,25,21
382,2005,17,39,25,19
383,2005,12,47,19,22
384,2005,11,44,24,21
388,2005,19,50,21,10
389,2005,19,48,23,10
390,2005,16,50,11,23
395,2005,24,36,18,22
396,2005,22,43,14,21
411,2005,12,58,16,14
414,2005,14,59,15,12
415,2005,20,52,15,13
416,2005,13,49,25,13
417,2005,12,54,17,17
418,2005,10,53,14,23
419,2005,25,40,19,16
420,2005,25,34,19,22
421,2005,21,37,25,17
422,2005,25,31,24,20
423,2005,13,52,18,17
424,2005,21,48,11,20
426,2005,15,47,17,21
427,2005,22,56,11,11
428,2005,23,51,14,12
429,2005,18,39,20,23
430,2005,21,30,25,24
431,2005,19,44,23,14
432,2005,22,33,25,20
433,2005,14,64,10,12
434,2005,12,49,22,17
435,2005,20,48,17,15
436,2005,24,33,21,22
437,2005,18,43,22,17
439,2005,15,52,23,10
442,2005,23,44,14,19
443,2005,13,51,23,13
444,2005,16,46,15,23
447,2005,24,50,15,11
450,2005,15,55,16,14
451,2005,10,41,24,25
31,2021,19,44,12,25
32,2021,21,54,14,11
33,2021,17,46,19,18
34,2021,19,48,13,20
35,2021,20,38,23,19
36,2021,15,54,15,16
37,2021,22,43,13,22
38,2021,25,41,17,17
39,2021,10,52,19,19
40,2021,11,65,12,12
41,2021,13,55,12,20
42,2021,11,53,20,16
43,2021,22,45,17,16
44,2021,14,43,23,20
45,2021,21,43,25,11
47,2021,10,63,11,16
48,2021,11,56,21,12
49,2021,16,41,20,23
50,2021,19,34,22,25
51,2021,17,33,25,25
52,2021,24,41,12,23
53,2021,14,52,22,12
54,2021,10,58,18,14
55,2021,12,55,15,18
56,2021,12,57,11,20
61,2021,22,40,16,22
64,2021,11,52,24,13
65,2021,23,42,20,15
66,2021,15,37,25,23
67,2021,25,41,18,16
70,2021,10,57,17,16
71,2021,10,66,14,10
74,2021,24,34,22,20
75,2021,23,37,18,22
76,2021,23,40,16,21
77,2021,12,46,20,22
78,2021,21,49,17,13
80,2021,15,47,22,16
81,2021,14,51,16,19
82,2021,17,38,25,20
83,2021,25,39,21,15
84,2021,17,52,15,16
85,2021,18,40,20,22
86,2021,12,52,15,21
87,2021,19,38,20,23
88,2021,24,38,20,18
89,2021,19,45,15,21
90,2021,17,47,18,18
91,2021,17,45,20,18
92,2021,15,49,20,16
94,2021,10,50,17,23
95,2021,15,51,20,14
100,2021,16,60,13,11
103,2021,17,40,24,19
104,2021,16,43,22,19
107,2021,21,48,14,17
110,2021,20,55,11,14
111,2021,19,57,13,11
112,2021,21,57,11,11
114,2021,13,41,25,21
116,2021,10,60,15,15
117,2021,18,47,14,21
118,2021,21,49,12,18
120,2021,22,36,22,20
124,2021,24,39,14,23
125,2021,20,46,19,15
126,2021,12,51,15,22
128,2021,21,52,15,12
129,2021,23,53,13,11
130,2021,13,56,13,18
131,2021,12,66,10,12
132,2021,19,46,20,15
133,2021,25,48,13,14
134,2021,18,44,23,15
135,2021,11,47,18,24
136,2021,23,43,16,18
137,2021,14,47,24,15
138,2021,20,47,20,13
139,2021,20,36,21,23
140,2021,25,46,17,12
141,2021,14,55,11,20
143,2021,17,46,17,20
144,2021,17,45,21,17
146,2021,15,49,12,24
147,2021,20,43,24,13
148,2021,10,61,17,12
149,2021,22,40,16,22
150,2021,11,58,20,11
151,2021,20,37,21,22
152,2021,23,44,14,19
153,2021,17,43,18,22
154,2021,19,61,10,10
155,2021,20,55,12,13
156,2021,16,48,11,25
158,2021,23,41,13,23
162,2021,23,41,23,13
164,2021,15,53,18,14
168,2021,21,43,21,15
169,2021,19,55,12,14
170,2021,25,39,18,18
171,2021,18,44,16,22
172,2021,20,33,22,25
173,2021,12,58,16,14
180,2021,25,29,25,21
185,2021,22,39,16,23
186,2021,16,48,11,25
189,2021,23,41,13,23
193,2021,10,43,24,23
194,2021,20,51,18,11
196,2021,23,28,24,25
200,2021,10,46,22,22
204,2021,15,40,21,24
205,2021,13,56,13,18
206,2021,19,39,17,25
207,2021,12,45,23,20
211,2021,13,58,14,15
212,2021,15,49,22,14
213,2021,15,57,16,12
214,2021,20,48,21,11
220,2021,13,53,22,12
221,2021,13,50,20,17
222,2021,18,47,16,19
223,2021,12,50,14,24
224,2021,22,35,20,23
225,2021,14,49,19,18
226,2021,14,44,18,24
227,2021,13,50,19,18
229,2021,23,39,22,16
230,2021,22,43,18,17
231,2021,23,35,22,20
232,2021,15,52,11,22
233,2021,15,46,14,25
234,2021,24,33,21,22
235,2021,25,50,13,12
236,2021,22,45,14,19
237,2021,18,43,16,23
238,2021,23,34,23,20
242,2021,24,49,13,14
243,2021,22,46,10,22
244,2021,10,63,10,17
245,2021,25,39,16,20
246,2021,16,49,10,25
249,2021,25,42,11,22
254,2021,16,51,14,19
256,2021,18,58,12,12
257,2021,14,49,24,13
258,2021,13,57,19,11
259,2021,24,41,23,12
260,2021,21,43,16,20
261,2021,15,60,14,11
279,2021,14,57,18,11
280,2021,25,38,25,12
281,2021,11,61,17,11
282,2021,13,58,19,10
283,2021,21,44,18,17
284,2021,22,37,21,20
285,2021,25,44,20,11
286,2021,15,47,23,15
289,2021,10,46,20,24
290,2021,13,58,13,16
294,2021,14,49,17,20
295,2021,13,58,11,18
296,2021,16,42,22,20
298,2021,25,33,19,23
299,2021,14,53,21,12
300,2021,22,38,16,24
301,2021,12,52,17,19
302,2021,12,51,12,25
303,2021,17,41,17,25
304,2021,11,42,25,22
309,2021,25,29,21,25
310,2021,10,50,20,20
312,2021,21,49,16,14
313,2021,19,48,19,14
314,2021,24,38,21,17
322,2021,15,56,10,19
323,2021,25,34,23,18
324,2021,17,49,17,17
330,2021,25,39,20,16
332,2021,22,39,21,18
333,2021,13,58,16,13
334,2021,14,56,19,11
335,2021,21,39,18,22
336,2021,13,47,23,17
338,2021,15,46,16,23
345,2021,17,57,11,15
346,2021,12,46,18,24
347,2021,12,59,10,19
350,2021,16,58,13,13
354,2021,20,50,14,16
357,2021,20,42,20,18
358,2021,11,52,17,20
359,2021,21,39,19,21
360,2021,15,44,25,16
361,2021,11,56,22,11
362,2021,10,60,19,11
363,2021,11,67,11,11
365,2021,11,59,12,18
366,2021,15,37,24,24
368,2021,13,64,13,10
373,2021,18,57,10,15
374,2021,19,52,18,11
376,2021,12,50,20,18
378,2021,14,56,13,17
379,2021,22,43,11,24
380,2021,24,45,18,13
381,2021,15,39,25,21
382,2021,17,39,25,19
383,2021,12,47,19,22
384,2021,11,44,24,21
388,2021,19,50,21,10
389,2021,19,48,23,10
390,2021,16,50,11,23
395,2021,24,36,18,22
396,2021,22,43,14,21
411,2021,12,58,16,14
414,2021,14,59,15,12
415,2021,20,52,15,13
416,2021,13,49,25,13
417,2021,12,54,17,17
418,2021,10,53,14,23
419,2021,25,40,19,16
420,2021,25,34,19,22
421,2021,21,37,25,17
422,2021,25,31,24,20
423,2021,13,52,18,17
424,2021,21,48,11,20
426,2021,15,47,17,21
427,2021,22,56,11,11
428,2021,23,51,14,12
429,2021,18,39,20,23
430,2021,21,30,25,24
431,2021,19,44,23,14
432,2021,22,33,25,20
433,2021,14,64,10,12
434,2021,12,49,22,17
435,2021,20,48,17,15
436,2021,24,33,21,22
437,2021,18,43,22,17
439,2021,15,52,23,10
442,2021,23,44,14,19
443,2021,13,51,23,13
444,2021,16,46,15,23
447,2021,24,50,15,11
450,2021,15,55,16,14
451,2021,10,41,24,25
31,2050,19,44,12,25
32,2050,21,54,14,11
33,2050,17,46,19,18
34,2050,19,48,13,20
35,2050,20,38,23,19
36,2050,15,54,15,16
37,2050,22,43,13,22
38,2050,25,41,17,17
39,2050,10,52,19,19
40,2050,11,65,12,12
41,2050,13,55,12,20
42,2050,11,53,20,16
43,2050,22,45,17,16
44,2050,14,43,23,20
45,2050,21,43,25,11
47,2050,10,63,11,16
48,2050,11,56,21,12
49,2050,16,41,20,23
50,2050,19,34,22,25
51,2050,17,33,25,25
52,2050,24,41,12,23
53,2050,14,52,22,12
54,2050,10,58,18,14
55,2050,12,55,15,18
56,2050,12,57,11,20
61,2050,22,40,16,22
64,2050,11,52,24,13
65,2050,23,42,20,15
66,2050,15,37,25,23
67,2050,25,41,18,16
70,2050,10,57,17,16
71,2050,10,66,14,10
74,2050,24,34,22,20
75,2050,23,37,18,22
76,2050,23,40,16,21
77,2050,12,46,20,22
78,2050,21,49,17,13
80,2050,15,47,22,16
81,2050,14,51,16,19
82,2050,17,38,25,20
83,2050,25,39,21,15
84,2050,17,52,15,16
85,2050,18,40,20,22
86,2050,12,52,15,21
87,2050,19,38,20,23
88,2050,24,38,20,18
89,2050,19,45,15,21
90,2050,17,47,18,18
91,2050,17,45,20,18
92,2050,15,49,20,16
94,2050,10,50,17,23
95,2050,15,51,20,14
100,2050,16,60,13,11
103,2050,17,40,24,19
104,2050,16,43,22,19
107,2050,21,48,14,17
110,2050,20,55,11,14
111,2050,19,57,13,11
112,2050,21,57,11,11
114,2050,13,41,25,21
116,2050,10,60,15,15
117,2050,18,47,14,21
118,2050,21,49,12,18
120,2050,22,36,22,20
124,2050,24,39,14,23
125,2050,20,46,19,15
126,2050,12,51,15,22
128,2050,21,52,15,12
129,2050,23,53,13,11
130,2050,13,56,13,18
131,2050,12,66,10,12
132,2050,19,46,20,15
133,2050,25,48,13,14
134,2050,18,44,23,15
135,2050,11,47,18,24
136,2050,23,43,16,18
137,2050,14,47,24,15
138,2050,20,47,20,13
139,2050,20,36,21,23
140,2050,25,46,17,12
141,2050,14,55,11,20
143,2050,17,46,17,20
144,2050,17,45,21,17
146,2050,15,49,12,24
147,2050,20,43,24,13
148,2050,10,61,17,12
149,2050,22,40,16,22
150,2050,11,58,20,11
151,2050,20,37,21,22
152,2050,23,44,14,19
153,2050,17,43,18,22
154,2050,19,61,10,10
155,2050,20,55,12,13
156,2050,16,48,11,25
158,2050,23,41,13,23
162,2050,23,41,23,13
164,2050,15,53,18,14
168,2050,21,43,21,15
169,2050,19,55,12,14
170,2050,25,39,18,18
171,2050,18,44,16,22
172,2050,20,33,22,25
173,2050,12,58,16,14
180,2050,25,29,25,21
185,2050,22,39,16,23
186,2050,16,48,11,25
189,2050,23,41,13,23
193,2050,10,43,24,23
194,2050,20,51,18,11
196,2050,23,28,24,25
200,2050,10,46,22,22
204,2050,15,40,21,24
205,2050,13,56,13,18
206,2050,19,39,17,25
207,2050,12,45,23,20
211,2050,13,58,14,15
212,2050,15,49,22,14
213,2050,15,57,16,12
214,2050,20,48,21,11
220,2050,13,53,22,12
221,2050,13,50,20,17
222,2050,18,47,16,19
223,2050,12,50,14,24
224,2050,22,35,20,23
225,2050,14,49,19,18
226,2050,14,44,18,24
227,2050,13,50,19,18
229,2050,23,39,22,16
230,2050,22,43,18,17
231,2050,23,35,22,20
232,2050,15,52,11,22
233,2050,15,46,14,25
234,2050,24,33,21,22
235,2050,25,50,13,12
236,2050,22,45,14,19
237,2050,18,43,16,23
238,2050,23,34,23,20
242,2050,24,49,13,14
243,2050,22,46,10,22
244,2050,10,63,10,17
245,2050,25,39,16,20
246,2050,16,49,10,25
249,2050,25,42,11,22
254,2050,16,51,14,19
256,2050,18,58,12,12
257,2050,14,49,24,13
258,2050,13,57,19,11
259,2050,24,41,23,12
260,2050,21,43,16,20
261,2050,15,60,14,11
279,2050,14,57,18,11
280,2050,25,38,25,12
281,2050,11,61,17,11
282,2050,13,58,19,10
283,2050,21,44,18,17
284,2050,22,37,21,20
285,2050,25,44,20,11
286,2050,15,47,23,15
289,2050,10,46,20,24
290,2050,13,58,13,16
294,2050,14,49,17,20
295,2050,13,58,11,18
296,2050,16,42,22,20
298,2050,25,33,19,23
299,2050,14,53,21,12
300,2050,22,38,16,24
301,2050,12,52,17,19
302,2050,12,51,12,25
303,2050,17,41,17,25
304,2050,11,42,25,22
309,2050,25,29,21,25
310,2050,10,50,20,20
312,2050,21,49,16,14
313,2050,19,48,19,14
314,2050,24,38,21,17
322,2050,15,56,10,19
323,2050,25,34,23,18
324,2050,17,49,17,17
330,2050,25,39,20,16
332,2050,22,39,21,18
333,2050,13,58,16,13
334,2050,14,56,19,11
335,2050,21,39,18,22
336,2050,13,47,23,17
338,2050,15,46,16,23
345,2050,17,57,11,15
346,2050,12,46,18,24
347,2050,12,59,10,19
350,2050,16,58,13,13
354,2050,20,50,14,16
357,2050,20,42,20,18
358,2050,11,52,17,20
359,2050,21,39,19,21
360,2050,15,44,25,16
361,2050,11,56,22,11
362,2050,10,60,19,11
363,2050,11,67,11,11
365,2050,11,59,12,18
366,2050,15,37,24,24
368,2050,13,64,13,10
373,2050,18,57,10,15
374,2050,19,52,18,11
376,2050,12,50,20,18
378,2050,14,56,13,17
379,2050,22,43,11,24
380,2050,24,45,18,13
381,2050,15,39,25,21
382,2050,17,39,25,19
383,2050,12,47,19,22
384,2050,11,44,24,21
388,2050,19,50,21,10
389,2050,19,48,23,10
390,2050,16,50,11,23
395,2050,24,36,18,22
396,2050,22,43,14,21
411,2050,12,58,16,14
414,2050,14,59,15,12
415,2050,20,52,15,13
416,2050,13,49,25,13
417,2050,12,54,17,17
418,2050,10,53,14,23
419,2050,25,40,19,16
420,2050,25,34,19,22
421,2050,21,37,25,17
422,2050,25,31,24,20
423,2050,13,52,18,17
424,2050,21,48,11,20
426,2050,15,47,17,21
427,2050,22,56,11,11
428,2050,23,51,14,12
429,2050,18,39,20,23
430,2050,21,30,25,24
431,2050,19,44,23,14
432,2050,22,33,25,20
433,2050,14,64,10,12
434,2050,12,49,22,17
435,2050,20,48,17,15
436,2050,24,33,21,22
437,2050,18,43,22,17
439,2050,15,52,23,10
442,2050,23,44,14,19
443,2050,13,51,23,13
444,2050,16,46,15,23
447,2050,24,50,15,11
450,2050,15,55,16,14
451,2050,10,41,24,25
