Geo,Year,PropRuralOnSite,PropRuralMixed,PropRuralRemote,PropTownOnSite,PropTownMixed,PropTownRemote,PropMetroOnSite,PropMetroMixed,PropMetroRemote
Polk,2050,0.248059536,0.587522188,0.164418276,0.248059536,0.587522188,0.164418276,0.248059536,0.587522188,0.164418276
Sherman,2050,0.257845921,0.591378472,0.150775607,0.257845921,0.591378472,0.150775607,0.257845921,0.591378472,0.150775607
Tillamook,2050,0.239348455,0.587717962,0.172933583,0.239348455,0.587717962,0.172933583,0.239348455,0.587717962,0.172933583
Umatilla,2050,0.223274279,0.578619912,0.19810581,0.223274279,0.578619912,0.19810581,0.223274279,0.578619912,0.19810581
Union,2050,0.255543808,0.571837597,0.172618594,0.255543808,0.571837597,0.172618594,0.255543808,0.571837597,0.172618594
Wallowa,2050,0.238346602,0.563038727,0.198614671,0.238346602,0.563038727,0.198614671,0.238346602,0.563038727,0.198614671
Wasco,2050,0.258886608,0.571502246,0.169611146,0.258886608,0.571502246,0.169611146,0.258886608,0.571502246,0.169611146
Washington,2050,0.265234889,0.570540897,0.164224214,0.265234889,0.570540897,0.164224214,0.265234889,0.570540897,0.164224214
Wheeler,2050,0.250173239,0.580141838,0.169684922,0.250173239,0.580141838,0.169684922,0.250173239,0.580141838,0.169684922
Yamhill,2050,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
